질문 번호,구분,질문,정답 실습 단계,예측 실습 단계,G4 적용 단계,분류 점수,분류 margin,G4 적용,정답 텍스트,G3 텍스트 정답 순위,G4-oracle 텍스트 정답 순위,G4 텍스트 정답 순위,G4 텍스트 평가,G4 텍스트 평가 근거,정답 이미지,G3 이미지 정답 순위,G4-oracle 이미지 정답 순위,G4 이미지 정답 순위,G4 이미지 평가,G4 검색 이미지 Top-10
Q01,기존,로봇 케이블을 임의로 개조하거나 연장할 경우 발생할 수 있는 가장 큰 위험 두 가지는 무엇입니까?,안전/전원/케이블,설치/케이블 노이즈 대책,,0.5419,0.0279,X,화재가 발생하거나 컨트롤러가 고장 날 수 있음,2,2,2,O,"keyword:발생,컨트롤러,고장",page_403_img_0_0.jpeg,,6,,X,"1. page_104_img_0_0.jpeg | score=0.716 | stage=0.000 | 
2. page_116_img_0_0.jpeg | score=0.658 | stage=0.000 | 
3. page_84_img_0_0.jpeg | score=0.635 | stage=0.000 | 
4. page_83_img_0_0.jpeg | score=0.553 | stage=0.000 | 
5. page_174_img_1_0.jpeg | score=0.543 | stage=0.000 | 
6. page_114_img_0_0.jpeg | score=0.531 | stage=0.000 | 
7. page_118_img_0_0.jpeg | score=0.484 | stage=0.000 | 
8. page_115_img_0_0.jpeg | score=0.471 | stage=0.000 | 
9. page_103_img_0_0.jpeg | score=0.466 | stage=0.000 | 
10. page_98_img_2_0.jpeg | score=0.466 | stage=0.000 | "
Q02,기존,제어기의 전원 공급을 위해 시스템에서 반드시 갖추어야 하는 최소 요구 조건(안전 장치)은 무엇입니까?,안전/전원/접지,안전/전원/접지,안전/전원/접지,0.5485,0.0501,O,접지와 누전차단기,1,1,1,O,"keyword:접지와,접지,누전차단기",page_403_img_0_0.jpeg,,5,5,O,"1. page_86_img_0_0.jpeg | score=1.264 | stage=0.580 | page=1.00
2. page_125_img_0_0.jpeg | score=1.127 | stage=0.580 | page=1.00
3. page_88_img_1_0.jpeg | score=1.112 | stage=0.580 | page=1.00
4. page_88_img_0_0.jpeg | score=1.098 | stage=0.580 | page=1.00
5. page_403_img_0_0.jpeg | score=0.990 | stage=0.630 | page=1.00; section=cs-12p
6. page_120_img_0_0.jpeg | score=0.970 | stage=0.580 | page=1.00
7. page_121_img_0_0.jpeg | score=0.968 | stage=0.580 | page=1.00
8. page_402_img_0_0.jpeg | score=0.931 | stage=0.630 | page=1.00; section=cs-12p
9. page_402_img_1_0.jpeg | score=0.928 | stage=0.630 | page=1.00; section=cs-12p
10. page_147_img_0_0.jpeg | score=0.891 | stage=0.341 | keyword=controller,safety"
Q03,기존,로봇 베이스를 바닥에 고정할 때 사용하는 볼트의 권장 규격과 체결 토크는 얼마입니까?,설치/기구 고정,설치/기구 고정,설치/기구 고정,0.6297,0.0768,O,M8 육각 렌치 볼트 / 20Nm 토크 권장,1,1,1,O,"keyword:m8,볼트,20nm,토크; semantic_rank:4",page_115_img_0_0.jpeg,1,1,1,O,"1. page_115_img_0_0.jpeg | score=1.347 | stage=0.647 | page=1.00; keyword=m8,20nm
2. page_84_img_0_0.jpeg | score=1.281 | stage=0.580 | page=1.00
3. page_123_img_0_0.jpeg | score=1.270 | stage=0.580 | page=1.00
4. page_116_img_0_0.jpeg | score=1.221 | stage=0.580 | page=1.00
5. page_88_img_0_0.jpeg | score=1.153 | stage=0.580 | page=1.00
6. page_88_img_1_0.jpeg | score=1.150 | stage=0.580 | page=1.00
7. page_114_img_0_0.jpeg | score=1.133 | stage=0.580 | page=1.00
8. page_118_img_0_0.jpeg | score=1.036 | stage=0.580 | page=1.00
9. page_86_img_0_0.jpeg | score=1.033 | stage=0.580 | page=1.00
10. page_85_img_0_0.jpeg | score=1.033 | stage=0.614 | page=1.00; keyword=m8"
Q04,기존,외부 비상 정지 스위치를 연결하기 위한 안전용 접점 입력 단자블록의 명칭과 단자는 무엇입니까?,안전 I/O/비상정지 배선,안전 I/O/비상정지 배선,안전 I/O/비상정지 배선,0.5708,0.0351,O,TBSFT 단자블록의 EM 단자,1,1,1,O,"keyword:tbsft,단자블록,em,단자; semantic_rank:1",page_145_img_0_0.jpeg,2,1,1,O,"1. page_145_img_0_0.jpeg | score=1.315 | stage=0.722 | page=1.00; keyword=safety i,o; section=safety i,o
2. page_147_img_0_0.jpeg | score=1.310 | stage=0.651 | page=1.00; keyword=o; section=o
3. page_142_img_0_0.jpeg | score=1.262 | stage=0.651 | page=1.00; keyword=o; section=o
4. page_142_img_1_0.jpeg | score=1.232 | stage=0.651 | page=1.00; keyword=o; section=o
5. page_144_img_0_0.jpeg | score=1.131 | stage=0.651 | page=1.00; keyword=o; section=o
6. page_144_img_1_0.jpeg | score=1.114 | stage=0.651 | page=1.00; keyword=o; section=o
7. page_143_img_0_0.jpeg | score=1.020 | stage=0.651 | page=1.00; keyword=o; section=o
8. page_143_img_1_0.jpeg | score=1.016 | stage=0.651 | page=1.00; keyword=o; section=o
9. page_141_img_1_0.jpeg | score=0.996 | stage=0.651 | page=1.00; keyword=o; section=o
10. page_148_img_0_0.jpeg | score=0.965 | stage=0.651 | page=1.00; keyword=o; section=o"
Q05,기존,엔드 이펙터(End-effector)를 제어하기 위한 툴 플랜지 커넥터의 전원 출력 핀 번호는 몇 번입니까?,툴 플랜지/I/O 배선,툴 플랜지/I/O 배선,,0.5719,0.0213,X,핀 5번(Power) 및 핀 8번(GND),1,1,1,O,semantic_rank:7,page_128_img_0_0.jpeg,,5,,X,"1. page_127_img_0_0.jpeg | score=0.855 | stage=0.000 | 
2. page_94_img_0_0.jpeg | score=0.833 | stage=0.000 | 
3. page_95_img_0_0.jpeg | score=0.764 | stage=0.000 | 
4. page_130_img_0_0.jpeg | score=0.752 | stage=0.000 | 
5. page_137_img_0_0.jpeg | score=0.733 | stage=0.000 | 
6. page_93_img_0_0.jpeg | score=0.728 | stage=0.000 | 
7. page_123_img_0_0.jpeg | score=0.691 | stage=0.000 | 
8. page_136_img_0_0.png | score=0.685 | stage=0.000 | 
9. page_136_img_1_0.jpeg | score=0.669 | stage=0.000 | 
10. page_104_img_0_0.jpeg | score=0.668 | stage=0.000 | "
Q06,기존,비상 상황 발생 시 즉각적인 조치를 위해 티치 펜던트에 위치한 비상 정지 버튼의 위치는 어디입니까?,티치 펜던트/비상정지,티치 펜던트/비상정지,티치 펜던트/비상정지,0.6561,0.0540,O,티치 펜던트 상단 우측,1,1,1,O,"keyword:티치,펜던트",page_103_img_0_0.jpeg,,6,6,△,"1. page_89_img_1_0.jpeg | score=1.279 | stage=0.580 | page=1.00
2. page_89_img_0_0.jpeg | score=1.220 | stage=0.580 | page=1.00
3. page_88_img_1_0.jpeg | score=1.131 | stage=0.580 | page=1.00
4. page_88_img_0_0.jpeg | score=1.112 | stage=0.580 | page=1.00
5. page_104_img_0_0.jpeg | score=1.078 | stage=0.580 | page=1.00
6. page_103_img_0_0.jpeg | score=1.028 | stage=0.580 | page=1.00
7. page_24_img_0_0.jpeg | score=0.965 | stage=0.350 | keyword=emergency stop
8. page_163_img_0_0.jpeg | score=0.876 | stage=0.328 | 
9. page_94_img_0_0.jpeg | score=0.851 | stage=0.324 | 
10. page_163_img_1_0.jpeg | score=0.828 | stage=0.332 | "
Q07,기존,협동로봇의 직접 교시(Direct Teaching)를 활성화하기 위해 조작기 툴 플랜지에서 눌러야 하는 버튼은 무엇입니까?,직접교시/Cockpit,직접교시/Cockpit,직접교시/Cockpit,0.6446,0.1629,O,Cockpit 버튼,1,1,1,O,"page; keyword:cockpit,버튼; semantic_rank:3",page_195_img_0_0.jpeg,10,2,2,O,"1. page_195_img_2_0.jpeg | score=1.176 | stage=0.580 | page=1.00
2. page_195_img_0_0.jpeg | score=0.995 | stage=0.580 | page=1.00
3. page_323_img_0_0.jpeg | score=0.904 | stage=0.229 | 
4. page_325_img_0_0.jpeg | score=0.870 | stage=0.229 | 
5. page_323_img_1_0.jpeg | score=0.865 | stage=0.297 | 
6. page_123_img_0_0.jpeg | score=0.845 | stage=0.324 | 
7. page_324_img_0_0.jpeg | score=0.824 | stage=0.229 | 
8. page_88_img_1_0.jpeg | score=0.791 | stage=0.337 | 
9. page_88_img_0_0.jpeg | score=0.777 | stage=0.328 | 
10. page_93_img_0_0.jpeg | score=0.750 | stage=0.319 | "
Q08,기존,제어기의 디지털 입력(Digital Input) 단자에 NPN 타입 센서를 연결할 때 배선은 어떻게 해야 합니까?,제어기 I/O 배선,제어기 I/O 배선,제어기 I/O 배선,0.5917,0.0569,O,24V/12V(VCC)에 PULL-UP 연결,2,1,1,O,"keyword:24v,vcc,연결",page_138_img_0_0.jpeg,4,4,4,O,"1. page_137_img_0_0.jpeg | score=1.313 | stage=0.664 | page=1.00; keyword=o; section=o
2. page_139_img_0_0.jpeg | score=1.304 | stage=0.664 | page=1.00; keyword=o; section=o
3. page_142_img_0_0.jpeg | score=1.292 | stage=0.698 | page=1.00; keyword=o,tbco; section=o
4. page_138_img_0_0.jpeg | score=1.275 | stage=0.664 | page=1.00; keyword=o; section=o
5. page_142_img_1_0.jpeg | score=1.264 | stage=0.698 | page=1.00; keyword=o,tbco; section=o
6. page_144_img_0_0.jpeg | score=1.218 | stage=0.799 | page=1.00; keyword=o,vcc,vio,gnd; section=o
7. page_144_img_1_0.jpeg | score=1.198 | stage=0.799 | page=1.00; keyword=o,vcc,vio,gnd; section=o
8. page_133_img_0_0.jpeg | score=1.125 | stage=0.664 | page=1.00; keyword=o; section=o
9. page_145_img_0_0.jpeg | score=1.109 | stage=0.664 | page=1.00; keyword=o; section=o
10. page_147_img_0_0.jpeg | score=1.075 | stage=0.664 | page=1.00; keyword=o; section=o"
Q09,기존,안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?,안전 I/O/보호정지 배선,안전 I/O/테스트 펄스,,0.6174,0.0134,X,TBSFT의 PR단자 (보호 정지),1,1,1,O,"keyword:tbsft,보호,정지",page_145_img_0_0.jpeg,2,2,2,O,"1. page_147_img_0_0.jpeg | score=0.896 | stage=0.000 | 
2. page_145_img_0_0.jpeg | score=0.849 | stage=0.000 | 
3. page_133_img_0_0.jpeg | score=0.818 | stage=0.000 | 
4. page_142_img_0_0.jpeg | score=0.801 | stage=0.000 | 
5. page_142_img_1_0.jpeg | score=0.777 | stage=0.000 | 
6. page_144_img_0_0.jpeg | score=0.772 | stage=0.000 | 
7. page_144_img_1_0.jpeg | score=0.758 | stage=0.000 | 
8. page_241_img_0_0.jpeg | score=0.719 | stage=0.000 | 
9. page_242_img_0_0.jpeg | score=0.715 | stage=0.000 | 
10. page_139_img_0_0.jpeg | score=0.707 | stage=0.000 | "
Q10,기존,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,티치 펜던트/상태 확인,티치 펜던트/상태 확인,티치 펜던트/상태 확인,0.5944,0.0784,O,Status 모듈 내 I/O Overview,8,8,8,△,keyword:모듈,page_332_img_0_0.jpeg,,,,X,"1. page_195_img_2_0.jpeg | score=0.936 | stage=0.306 | keyword=i; section=i
2. page_104_img_0_0.jpeg | score=0.883 | stage=0.244 | keyword=i; section=i
3. page_386_img_1_0.jpeg | score=0.868 | stage=0.254 | keyword=i; section=i
4. page_384_img_0_0.jpeg | score=0.852 | stage=0.239 | keyword=i; section=i
5. page_192_img_0_0.jpeg | score=0.813 | stage=0.084 | keyword=i; section=i
6. page_96_img_0_0.jpeg | score=0.806 | stage=0.293 | keyword=i; section=i
7. page_376_img_0_0.jpeg | score=0.792 | stage=0.238 | keyword=i; section=i
8. page_196_img_0_0.jpeg | score=0.717 | stage=0.084 | keyword=i; section=i
9. page_98_img_0_0.jpeg | score=0.703 | stage=0.237 | keyword=i; section=i
10. page_98_img_1_0.jpeg | score=0.666 | stage=0.237 | keyword=i; section=i"
Q11,기존,로봇을 천장(Ceiling)에 거꾸로 설치할 때 소프트웨어 설정 메뉴에서 입력해야 하는 마운팅 각도는 어떻게 설정합니까?,설치/마운팅 설정,설치/마운팅 설정,설치/마운팅 설정,0.6719,0.0894,O,Y축 회전과 Z축 회전으로 각도 설정,1,1,1,O,"keyword:회전과,회전,회전으로,각도; semantic_rank:12",page_188_img_0_0.jpeg,,,,X,"1. page_192_img_0_0.jpeg | score=1.333 | stage=0.722 | page=1.00; keyword=robot settings,y; section=robot settings
2. page_195_img_2_0.jpeg | score=1.119 | stage=0.831 | page=1.00; keyword=mount,robot settings,y; section=robot settings,mount
3. page_191_img_0_0.jpeg | score=1.062 | stage=0.722 | page=1.00; keyword=robot settings,y; section=robot settings
4. page_196_img_0_0.jpeg | score=1.056 | stage=0.722 | page=1.00; keyword=robot settings,y; section=robot settings
5. page_189_img_0_0.jpeg | score=1.052 | stage=0.722 | page=1.00; keyword=robot settings,y; section=robot settings
6. page_190_img_0_0.jpeg | score=1.015 | stage=0.722 | page=1.00; keyword=robot settings,y; section=robot settings
7. page_184_img_0_0.jpeg | score=0.907 | stage=0.580 | page=1.00
8. page_378_img_2_0.jpeg | score=0.900 | stage=0.276 | keyword=y
9. page_181_img_0_0.jpeg | score=0.892 | stage=0.324 | keyword=y
10. page_378_img_0_0.jpeg | score=0.874 | stage=0.328 | keyword=y"
Q12,기존,전원이 꺼진 상태나 비상시 조작기 각 관절의 브레이크(Brake)를 수동으로 해제하는 방법은 무엇입니까?,비상/Backdrive,비상/Backdrive,비상/Backdrive,0.5422,0.0563,O,Backdrive 모듈 사용,1,1,1,O,"keyword:backdrive,모듈; semantic_rank:3",page_178_img_0_0.jpeg,1,1,1,O,"1. page_178_img_0_0.jpeg | score=1.318 | stage=0.698 | page=1.00; keyword=backdrive,recovery; section=backdrive
2. page_179_img_1_0.jpeg | score=1.297 | stage=0.698 | page=1.00; keyword=backdrive,recovery; section=backdrive
3. page_181_img_0_0.jpeg | score=0.986 | stage=0.614 | page=1.00; keyword=recovery
4. page_89_img_1_0.jpeg | score=0.899 | stage=0.341 | 
5. page_177_img_1_0.jpeg | score=0.864 | stage=0.580 | page=1.00
6. page_125_img_0_0.jpeg | score=0.859 | stage=0.328 | 
7. page_89_img_0_0.jpeg | score=0.840 | stage=0.337 | 
8. page_24_img_0_0.jpeg | score=0.725 | stage=0.289 | keyword=emergency
9. page_169_img_2_0.jpeg | score=0.712 | stage=0.698 | page=1.00; keyword=backdrive,recovery; section=backdrive
10. page_174_img_1_0.jpeg | score=0.701 | stage=0.580 | page=1.00"
Q13,기존,티치 펜던트의 전원을 강제로 종료하는 물리적 버튼 조작법은 무엇입니까?,티치 펜던트/전원 조작,티치 펜던트/전원 조작,티치 펜던트/전원 조작,0.6817,0.0619,O,전원 버튼을 4초 이상 길게 누름,1,1,1,O,"keyword:전원,버튼을,버튼,길게; semantic_rank:4",page_24_img_0_0.jpeg,5,8,8,△,"1. page_94_img_0_0.jpeg | score=1.302 | stage=0.580 | page=1.00
2. page_95_img_0_0.jpeg | score=1.235 | stage=0.580 | page=1.00
3. page_96_img_0_0.jpeg | score=1.207 | stage=0.580 | page=1.00
4. page_104_img_0_0.jpeg | score=1.092 | stage=0.580 | page=1.00
5. page_103_img_0_0.jpeg | score=1.069 | stage=0.580 | page=1.00
6. page_163_img_0_0.jpeg | score=0.994 | stage=0.350 | 
7. page_163_img_1_0.jpeg | score=0.942 | stage=0.346 | 
8. page_24_img_0_0.jpeg | score=0.904 | stage=0.332 | 
9. page_89_img_1_0.jpeg | score=0.889 | stage=0.328 | 
10. page_88_img_1_0.jpeg | score=0.844 | stage=0.315 | "
Q14,기존,로봇이 특이점(Singularity) 영역에 도달했을 때 제어를 보호하기 위해 발생하는 현상은 무엇입니까?,안전/특이점/동작 제한,안전/특이점/동작 제한,안전/특이점/동작 제한,0.5224,0.0705,O,조인트 속력/각도 제한 위반으로 에러 발생 후 정지,1,1,1,O,"keyword:조인트,각도,제한,위반,에러,발생",page_173_img_1_0.jpeg,1,1,1,O,"1. page_173_img_1_0.jpeg | score=1.359 | stage=0.689 | page=1.00; keyword=singularity; section=singularity
2. page_174_img_1_0.jpeg | score=1.302 | stage=0.580 | page=1.00
3. page_175_img_1_0.jpeg | score=0.994 | stage=0.580 | page=1.00
4. page_175_img_4_0.jpeg | score=0.991 | stage=0.580 | page=1.00
5. page_175_img_3_0.jpeg | score=0.986 | stage=0.580 | page=1.00
6. page_175_img_2_0.jpeg | score=0.981 | stage=0.580 | page=1.00
