"구분","질문 번호","질문","정답 텍스트","페이지","정답 이미지","실습 단계","질문 유형","근거"
"기존","Q01","로봇 케이블을 임의로 개조하거나 연장할 경우 발생할 수 있는 가장 큰 위험 두 가지는 무엇입니까?","화재가 발생하거나 컨트롤러가 고장 날 수 있음","402","page_403_img_0_0.jpeg","안전/전원/케이블","안전 주의형","케이블 개조 및 연장으로 인한 화재와 컨트롤러 고장 위험을 묻는 안전 관련 질문"
"기존","Q02","제어기의 전원 공급을 위해 시스템에서 반드시 갖추어야 하는 최소 요구 조건(안전 장치)은 무엇입니까?","접지와 누전차단기","402","page_403_img_0_0.jpeg","안전/전원/접지","안전 주의형","제어기 전원 공급 시 접지와 누전차단기 같은 필수 안전 조건을 묻는 질문"
"기존","Q03","로봇 베이스를 바닥에 고정할 때 사용하는 볼트의 권장 규격과 체결 토크는 얼마입니까?","M8 육각 렌치 볼트 / 20Nm 토크 권장","114","page_115_img_0_0.jpeg","설치/기구 고정","설치 절차형","로봇 베이스 고정에 필요한 볼트 규격과 토크를 묻는 설치 단계 질문"
"기존","Q04","외부 비상 정지 스위치를 연결하기 위한 안전용 접점 입력 단자블록의 명칭과 단자는 무엇입니까?","TBSFT 단자블록의 EM 단자","144","page_145_img_0_0.jpeg","안전 I/O/비상정지 배선","배선 확인형","외부 비상 정지 스위치 연결을 위한 안전 입력 단자를 묻는 질문"
"기존","Q05","엔드 이펙터(End-effector)를 제어하기 위한 툴 플랜지 커넥터의 전원 출력 핀 번호는 몇 번입니까?","핀 5번(Power) 및 핀 8번(GND)","127","page_128_img_0_0.jpeg","툴 플랜지/I/O 배선","배선 확인형","엔드 이펙터 전원 공급 핀 번호를 확인하는 툴 플랜지 배선 질문"
"기존","Q06","비상 상황 발생 시 즉각적인 조치를 위해 티치 펜던트에 위치한 비상 정지 버튼의 위치는 어디입니까?","티치 펜던트 상단 우측","102","page_103_img_0_0.jpeg","티치 펜던트/비상정지","안전 조작형","비상 정지 버튼의 물리적 위치를 묻는 티치 펜던트 조작 질문"
"기존","Q07","협동로봇의 직접 교시(Direct Teaching)를 활성화하기 위해 조작기 툴 플랜지에서 눌러야 하는 버튼은 무엇입니까?","Cockpit 버튼","194","page_195_img_0_0.jpeg","직접교시/Cockpit","조작 절차형","직접 교시 활성화에 사용하는 Cockpit 버튼을 묻는 조작 질문"
"기존","Q08","제어기의 디지털 입력(Digital Input) 단자에 NPN 타입 센서를 연결할 때 배선은 어떻게 해야 합니까?","24V/12V(VCC)에 PULL-UP 연결","136","page_138_img_0_0.jpeg","제어기 I/O 배선","배선 확인형","NPN 센서 연결 방식과 Pull-up 배선을 묻는 제어기 I/O 질문"
"기존","Q09","안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?","TBSFT의 PR단자 (보호 정지)","144","page_145_img_0_0.jpeg","안전 I/O/보호정지 배선","배선 확인형","펜스나 라이트 커튼 보호 정지 입력 단자를 묻는 안전 I/O 질문"
"기존","Q10","티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?","Status 모듈 내 I/O Overview","330","page_332_img_0_0.jpeg","티치 펜던트/상태 확인","메뉴 경로형","티치 펜던트에서 관절 각도 정보를 확인하는 메뉴 경로 질문"
"기존","Q11","로봇을 천장(Ceiling)에 거꾸로 설치할 때 소프트웨어 설정 메뉴에서 입력해야 하는 마운팅 각도는 어떻게 설정합니까?","Y축 회전과 Z축 회전으로 각도 설정","187","page_188_img_0_0.jpeg","설치/마운팅 설정","설정 절차형","천장 설치 시 소프트웨어 마운팅 각도 설정을 묻는 설치 설정 질문"
"기존","Q12","전원이 꺼진 상태나 비상시 조작기 각 관절의 브레이크(Brake)를 수동으로 해제하는 방법은 무엇입니까?","Backdrive 모듈 사용","177","page_178_img_0_0.jpeg","비상/Backdrive","비상 조작형","비상 또는 무전원 상태에서 브레이크를 해제하는 Backdrive 사용 질문"
