"질문 번호","질문","정답 텍스트","페이지","정답 이미지","실습 단계","질문 유형","이미지 확정 근거"
"Q39","제품을 처음 개봉할 때 로봇과 컨트롤러는 몇 개의 상자에 나누어 배송됩니까?","로봇 및 컨트롤러는 2개의 상자에 담겨 배송됨","83","page_83_img_0_0.jpeg","설치/제품 개봉","절차 확인형","패킹을 뜯고 제품을 확인하는 절차 그림과 연결됨"
"Q40","티치펜던트와 로봇 케이블을 컨트롤러에 연결할 때 케이블이 빠지지 않도록 어떻게 연결해야 합니까?","해당 연결부에 딸깍 소리가 날 때까지 연결해야 함","83","page_84_img_0_0.jpeg","설치/케이블 연결","절차 확인형","컨트롤러 케이블 연결 절차 그림과 연결됨"
"Q41","컨트롤러 전원 케이블을 연결한 후 안전을 위해 반드시 확인해야 하는 전기적 조건은 무엇입니까?","로봇이 올바르게 접지되었는지 확인해야 함","86","page_86_img_0_0.jpeg","안전/전원/접지","안전 확인형","컨트롤러 전원 연결 및 접지 그림과 연결됨"
"Q42","컨트롤러를 바닥에 설치할 때 기기 내부 환기를 위해 양쪽 면에 확보해야 하는 최소 여유 공간은 얼마입니까?","양쪽 면에 약 50 mm의 여유 공간을 확보해야 함","88","page_88_img_0_0.jpeg","설치/컨트롤러 배치","설치 주의형","컨트롤러 배치와 환기 여유 공간 그림과 연결됨"
"Q43","로봇 설치 후 첫 부팅 시 비상 정지 경고 팝업이 나타나면 비상 정지 버튼을 어떻게 해제해야 합니까?","비상 정지 버튼을 시계 방향으로 돌려 해제함","89","page_89_img_0_0.jpeg","티치 펜던트/비상정지","조작 절차형","비상 정지 버튼 해제 절차 그림과 연결됨"
"Q44","시스템을 정상 종료할 때 전원 종료 팝업에서 눌러야 하는 버튼은 무엇입니까?","전원 종료 팝업에서 확인 버튼을 눌러 종료함","94","page_94_img_0_0.jpeg","티치 펜던트/전원 종료","조작 절차형","시스템 전원 끄기 화면 그림과 연결됨"
"Q45","로봇을 설치 장소로 옮길 때 들어 올려야 하는 부분은 어디입니까?","매뉴얼 그림에서 음영으로 표시된 인양 지점을 들어 이동함","97","page_98_img_1_0.jpeg","설치/로봇 운반","안전 절차형","로봇 이동 및 설치를 위한 인양 지점 그림과 연결됨"
"Q46","전자파 노이즈 영향을 줄이기 위해 매니퓰레이터 케이블 양단에 설치를 권장하는 부품은 무엇입니까?","페라이트코어를 설치하는 것을 권장함","119","page_119_img_1_0.jpeg","설치/케이블 노이즈 대책","부품 확인형","페라이트코어 설치 위치 그림과 연결됨"
"Q47","매니퓰레이터 연결 케이블을 컨트롤러에 연결한 뒤 케이블이 빠지지 않도록 추가로 해야 하는 조치는 무엇입니까?","연결 후 고정용 고리를 체결해야 함","120","page_120_img_0_0.jpeg","설치/매니퓰레이터 연결","절차 확인형","매니퓰레이터와 컨트롤러 연결 절차 그림과 연결됨"
"Q48","툴을 툴 플랜지에 고정할 때 사용하는 볼트 수와 권장 체결 토크는 얼마입니까?","M6 볼트 4개를 사용하며 9 Nm 토크로 조이는 것을 권장함","123","page_123_img_0_0.jpeg","툴 장착/플랜지 고정","설치 절차형","로봇과 툴 연결 그림 및 고정 절차와 연결됨"
"Q49","컨트롤러에서 시스템 전원을 켤 때 누르는 물리적 스위치는 어디에 있습니까?","컨트롤러 하단의 전원 스위치를 누름","125","page_125_img_0_0.jpeg","전원/컨트롤러 조작","조작 절차형","컨트롤러 하단 전원 스위치 그림과 연결됨"
"Q50","플랜지 디지털 출력이 활성화되었을 때와 비활성화되었을 때 출력 채널 상태는 각각 어떻게 됩니까?","활성화 시 +24V가 되고 비활성화 시 open 상태가 됨","130","page_130_img_0_0.jpeg","툴 플랜지/디지털 출력","사양 확인형","플랜지 디지털 출력 회로 및 사양 그림과 연결됨"
"Q51","플랜지 아날로그 입력 기능에서 설정 가능한 입력 모드는 무엇입니까?","전압 모드(0~10V) 또는 전류 모드(4~20mA)로 설정 가능함","132","page_132_img_0_0.png","툴 플랜지/아날로그 입력","사양 확인형","플랜지 아날로그 입력 사양 및 구성 그림과 연결됨"
"Q52","컨트롤러 I/O 단자를 통해 연결할 수 있는 대표적인 안전기기에는 무엇이 있습니까?","비상정지 스위치, 라이트 커튼, 안전 매트 등을 연결할 수 있음","133","page_133_img_0_0.jpeg","제어기 I/O/외부 장치 연결","장치 확인형","컨트롤러 I/O 구성 그림과 연결됨"
"Q53","컨트롤러의 외부 엔코더 입력 단자 TBEN은 어떤 엔코더 상을 입력받을 수 있습니까?","A상, B상, Z상을 입력받을 수 있음","137","page_137_img_0_0.jpeg","제어기 I/O/엔코더 입력","배선 확인형","TBEN 외부 엔코더 입력 단자 그림과 연결됨"
"Q54","컨트롤러의 Configurable 디지털 I/O는 디지털 입력과 디지털 출력을 각각 몇 개씩 제공합니까?","디지털 입력 16개와 디지털 출력 16개로 구성됨","139","page_139_img_0_0.jpeg","제어기 I/O/디지털 입출력","사양 확인형","Configurable 디지털 I/O 구성 그림과 연결됨"
"Q55","단순 부하를 구동할 때 TBCO 단자블록에서 부하는 어떤 단자 사이에 연결합니까?","TBCO1~TBCO4의 Oxx 단자와 GIO 단자 사이에 부하를 연결함","141","page_141_img_1_0.jpeg","제어기 I/O/디지털 출력 배선","배선 확인형","단순 부하 연결 회로 그림과 연결됨"
"Q56","Sink type 입력기기와 연결할 때 Oxx 단자와 GIO 단자는 각각 어디에 연결합니까?","Oxx는 외부기기의 입력단자에, GIO는 Negative common에 연결함","142","page_142_img_0_0.jpeg","제어기 I/O/Sink 배선","배선 확인형","Sink type 입력기기 연결 그림과 연결됨"
"Q57","테스트 펄스가 포함된 안전신호를 연결할 수 있는 Safety Controller 전용 안전 입력 단자는 무엇입니까?","SI1, SI2, SI3, SI4 단자","147","page_147_img_0_0.jpeg","안전 I/O/테스트 펄스","배선 확인형","Safety Controller 전용 안전 입력단자 그림과 연결됨"
"Q58","컨트롤러 네트워크 연결에서 WAN 포트와 LAN 포트의 용도는 각각 무엇입니까?","WAN은 외부 인터넷 망 연결, LAN은 TCP/IP 또는 Modbus 주변기기 연결에 사용됨","148","page_148_img_0_0.jpeg","네트워크/포트 연결","기능 확인형","WAN/LAN 네트워크 연결 단자 그림과 연결됨"
"Q59","오른손 법칙에서 좌표계의 X축, Y축, Z축은 각각 어느 손가락에 대응됩니까?","엄지는 X축, 검지는 Y축, 중지는 Z축에 대응됨","176","page_177_img_1_0.jpeg","좌표계/오른손 법칙","개념 확인형","오른손 법칙 좌표계 설명 그림과 연결됨"
"Q60","Recovery 모듈은 어떤 상황에서 로봇 위치와 각도를 설정하기 위해 사용합니까?","안전 위반이 지속되는 오류가 발생하거나 운반/포장을 위해 로봇을 설정할 때 사용함","181","page_181_img_0_0.jpeg","안전 복구/Recovery","기능 확인형","Recovery 모듈 화면 그림과 연결됨"
"Q61","Robot Settings 화면의 더보기 버튼은 어떤 파일 작업을 수행할 수 있게 합니까?","새 파일 생성, 기존 파일 불러오기, 저장, 내보내기 등을 수행할 수 있음","186","page_186_img_0_0.jpeg","DART-Platform/Robot Settings","화면 구성형","Robot Settings 메뉴 구성 그림과 연결됨"
"Q62","Cockpit 설정 화면에서 1번 버튼에 수행할 기능을 지정하는 항목은 무엇입니까?","1 버튼 설정 항목에서 기능을 선택함","196","page_196_img_0_0.jpeg","직접교시/Cockpit 설정","화면 구성형","Cockpit 설정 화면 항목 그림과 연결됨"
