Query_ID,Query,Target_Text,Target_Page,Target_Image_Name,Try1,,
Q01,DC 컨트롤러(CS-12P)에 전원을 공급하기 위한 정격 입력 전압과 전류 사양은 어떻게 됩니까?,22 – 60 VDC / 30 A,393,None,,,
Q02,A0509 모델의 1번 축부터 3번 축까지의 허용 최대 토크(Allowable Max. Torque)는 몇 Nm입니까?,190 Nm,403,None,,,
Q03,플랜지 LED 색상이 빨간색으로 깜박일 때 로봇은 어떤 상태를 의미합니까?,제어기 부팅 및 로봇 초기화 과정,18,None,,,
Q04,직류(DC)용 컨트롤러를 사용할 때 또는 입력전압이 48V 이하일 경우 어떤 제한 사항이 발생할 수 있습니까?,부하 및 모션에 따라 로봇의 동작이 제한될 수 있음,402,None,,,
Q05,로봇 시스템을 구성할 때 전원 스위치와 관련하여 매뉴얼에서 권장하는 사항은 무엇입니까?,모든 기기를 한 번에 끌 수 있는 전원 스위치를 설치하는 것을 권장,402,None,,,
Q06,로봇 케이블을 임의로 개조하거나 연장할 경우 발생할 수 있는 가장 큰 위험 두 가지는 무엇입니까?,화재가 발생하거나 컨트롤러가 고장 날 수 있음,402,page_403_img_0.jpeg,△,그림 불일치,
Q07,A0509 모델의 4번 축부터 6번 축까지의 허용 최대 토크는 몇 Nm입니까?,40 Nm,403,None,,,
Q08,제어기의 전원 공급을 위해 시스템에서 반드시 갖추어야 하는 최소 요구 조건(안전 장치)은 무엇입니까?,접지와 누전차단기,402,page_403_img_0.jpeg,△,그림 불일치,
Q09,로봇의 조작 모드 중 '자동 모드(Auto Standby)'일 때 플랜지 및 베이스 LED의 상태는 어떻게 표시됩니까?,"단독 작업일 경우 흰색, 협동 작업일 경우 녹색",16,None,,,
Q10,A0912 모델의 페이로드(가반하중)와 최대 작업 반경(Reach) 스펙은 어떻게 됩니까?,9 kg / 1200 mm,109,None,,,
Q11,로봇 베이스를 바닥에 고정할 때 사용하는 볼트의 권장 규격과 체결 토크는 얼마입니까?,M8 육각 렌치 볼트 / 20Nm 토크 권장,114,page_115_img_0.jpeg,ㅇ,,ㅇ
Q12,외부 비상 정지 스위치를 연결하기 위한 안전용 접점 입력 단자블록의 명칭과 단자는 무엇입니까?,TBSFT 단자블록의 EM 단자,144,page_145_img_0.jpeg,ㅇ,,ㅇ
Q13,로봇 시스템의 허용 동작 온도와 보관 온도 범위는 어떻게 됩니까?,동작 온도: -5 ~ 45℃ / 보관 온도: -5 ~ 50℃,110,None,,,
Q14,엔드 이펙터(End-effector)를 제어하기 위한 툴 플랜지 커넥터의 전원 출력 핀 번호는 몇 번입니까?,핀 5번(Power) 및 핀 8번(GND),127,page_128_img_0.jpeg,x,그림 불일치 및 영어 프린트,
