stage_id,실습 단계,질문 수,근거 질문,텍스트 페이지 범위,이미지 페이지 범위,섹션 키워드,본문 키워드,동작/질문 키워드,가중치,근거
M001,DART-Platform/Robot Settings,1,평가 정답 미사용,187-201,186-203,"Robot Settings, User Coordinates, Mount, Home Position, Cockpit","DART-Platform, Robot Settings, User Coordinates, Mount, Home Position, Cockpit, Default Position, Custom Position, Apply","Robot Settings, file, save, import, export, mount, coordinate, cockpit",1.00,매뉴얼 6.7.1 Robot Settings section 기준
M002,TCP/툴 좌표 설정,2,평가 정답 미사용,201-209,200-210,"Tool Settings, Tool Center Point, TCP, Tool Coordinate","Tool Settings, TCP, Tool Center Point, Tool Coordinate, offset, X, Y, Z, flange, tool frame, simulation","TCP, tool coordinate, offset, X, Y, Z",1.00,매뉴얼 6.7.2 Tool Settings의 TCP/Tool Center Point 설명 기준
M003,UI/시스템 정보 확인,1,평가 정답 미사용,164-170; 349-350,163-171; 348-351,"Program screen, Header, System Information","Header, current time, menu button, System Information, Platform Version, DART-Platform","time, header, system information, platform version",1.00,DART-Platform 화면 구성 및 System Information section 기준
M004,네트워크/포트 연결,1,평가 정답 미사용,148-153; 354-357,147-154; 353-358,"Network Connection, External Device Connection, Network Settings","WAN, LAN, TCP/IP, Modbus, Ethernet/IP, PROFINET, network, port, controller, external device","WAN, LAN, network, port, TCP/IP, Modbus",1.00,인터페이스 Network Connection 및 System Settings Network section 기준
M005,비상/Backdrive,1,평가 정답 미사용,169-170; 178-181,168-181,"Backdrive, menu button, brake release","Backdrive, brake, servo off, joint, release, hold, emergency, recovery, manual mode","Backdrive, brake release, joint, emergency",1.00,DART-Platform Backdrive module section 기준
M006,사용자 관리/권한,1,평가 정답 미사용,342-354,341-355,"Store, Account, Supervisor Password, Safety Password","user, account, supervisor, password, admin, safety password, lock, setting","account, supervisor, password, admin",1.00,Store account 및 Settings password section 기준
M007,상태 확인/I/O Overview,1,평가 정답 미사용,331-338,330-339,"Status, I/O Overview","Status, I/O Overview, digital input, digital output, analog input, high, low, icon, controller, flange","status, I/O Overview, digital input, high, low",1.00,Status module의 I/O Overview section 기준
M008,설치/기구 고정,1,평가 정답 미사용,84-86; 115-118,83-87; 114-119,"Robot base fixing, hardware installation","robot base, M8, bolt, torque, 20Nm, washer, positioning pin, fixed position, installation","base, bolt, torque, fixing, installation",1.00,빠른 설치 및 설치 매뉴얼의 로봇 베이스 고정 section 기준
M009,설치/로봇 운반,1,평가 정답 미사용,97-98; 160-162,96-99; 159-163,"Lifting point, robot transport, packaging box","transport, lifting point, carry, shaded area, packaging, box, robot posture","transport, carry, lifting point",1.00,설치 매뉴얼 이동 및 설치를 위한 인양 지점 section 기준
M010,설치/마운팅 설정,1,평가 정답 미사용,187-201,186-203,"Robot Settings, Mount","Mount, installation angle, ceiling, wall, floor, Y rotation, Z rotation, Robot Settings","mount, ceiling, angle, Y, Z",1.00,DART-Platform Robot Settings의 Mount 설정 section 기준
M011,설치/매니퓰레이터 연결,1,평가 정답 미사용,119-122,118-123,"System connection, manipulator connection","manipulator cable, controller, fixing hook, system connection, cable lock, power connector","manipulator cable, controller, fixing hook",1.00,설치 매뉴얼 System connection section 기준
M012,설치/제품 개봉,1,평가 정답 미사용,83; 98-104,82-84; 97-105,"Unpacking, components, system configuration","unpacking, package, box, robot, controller, components, teach pendant, cable","unpack, package, box, components",1.00,로봇 시작하기 패킹 뜯기 및 설치 매뉴얼 구성품 section 기준
M013,설치/컨트롤러 배치,1,평가 정답 미사용,87-89,86-90,Controller placement,"controller, placement, ventilation, clearance, 50 mm, cable bending radius, floor","controller, ventilation, clearance, 50 mm",1.00,컨트롤러 배치하기 section 기준
M014,설치/케이블 노이즈 대책,1,평가 정답 미사용,116-118,115-119,"Robot installation preparation, cable noise prevention","cable, electromagnetic noise, ferrite core, shield, malfunction, manipulator cable","cable, noise, ferrite core",1.00,로봇 설치 준비의 케이블 배치 및 노이즈 주의 section 기준
M015,설치/케이블 방수,1,평가 정답 미사용,405-406,404-406,"Installation guide, Cube module, Grommet","cube module, cable, grommet, waterproof, frame cover, installation guide","grommet, waterproof, cable, cube module",1.00,부록 설치 가이드의 그로밋 결합 절차 기준
M016,설치/케이블 배선,1,평가 정답 미사용,116-118,115-119,"Cable routing, minimum bend radius","cable, routing, minimum bending radius, teach pendant cable, manipulator cable, installation preparation","cable routing, bending radius",1.00,로봇 설치 준비의 케이블 최소 곡률반경 section 기준
