검토 판정,질문 번호,실습 단계,질문,정답 이미지,정답 이미지 페이지,G3 이미지 순위,G4 수동 이미지 순위,G4 수동 이미지 평가,현재 텍스트 페이지 범위,현재 이미지 페이지 범위,정답 이미지 페이지 포함 여부,본문 키워드,근거,수정 제안
필수 검토,Q10,티치 펜던트/상태 확인,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,page_332_img_0_0.jpeg,332,,,X,331-338,330-339,포함,"Status, I/O Overview, joint angle, robot current position, controller input, output, monitoring",Status module 및 I/O Overview section 기준,후보 수집 범위 또는 stage keyword를 확장해 Top-10 안에 포함되도록 조정
필수 검토,Q11,설치/마운팅 설정,로봇을 천장(Ceiling)에 거꾸로 설치할 때 소프트웨어 설정 메뉴에서 입력해야 하는 마운팅 각도는 어떻게 설정합니까?,page_188_img_0_0.jpeg,188,,,X,187-201,186-203,포함,"Mount, installation angle, ceiling, wall, floor, Y rotation, Z rotation, Robot Settings",DART-Platform Robot Settings의 Mount 설정 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / 후보 수집 범위 또는 stage keyword를 확장해 Top-10 안에 포함되도록 조정"
필수 검토,Q22,프로그래밍/Task Editor,다양한 프로그램 명령어를 조립하여 로봇 동작을 구성하는 두산로보틱스의 프로그래밍 모듈 명칭은 무엇입니까?,page_262_img_0_0.jpeg,262,,,X,262-267,261-268,포함,"Task Editor, command, task list, property, command list, programming, copy, paste, delete",DART-Platform Task Editor module section 기준,후보 수집 범위 또는 stage keyword를 확장해 Top-10 안에 포함되도록 조정
필수 검토,Q28,설치/케이블 방수,로봇 큐브 모듈 케이블을 결합할 때 방수 등급 강화를 위해 케이블에 결합해야 하는 부품은 무엇입니까?,page_405_img_0_0.jpeg,405,,,X,405-406,404-406,포함,"cube module, cable, grommet, waterproof, frame cover, installation guide",부록 설치 가이드의 그로밋 결합 절차 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / 후보 수집 범위 또는 stage keyword를 확장해 Top-10 안에 포함되도록 조정"
필수 검토,Q65,안전 설정/구역 설정,구 형태의 안전 영역을 설정할 때 중심 위치는 어떤 축 값으로 입력합니까?,page_226_img_0_0.jpeg,226,,,X,224-230,223-231,포함,"Zone, center position, X, Y, Z, sphere, radius, safety area, robot parameter",6.7.3 Safety Settings의 Zone 위치 입력 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / 후보 수집 범위 또는 stage keyword를 확장해 Top-10 안에 포함되도록 조정"
범위 검토,Q13,티치 펜던트/전원 조작,티치 펜던트의 전원을 강제로 종료하는 물리적 버튼 조작법은 무엇입니까?,page_24_img_0_0.jpeg,24,5,8,△,94-95; 102-103,93-96; 101-104,미포함,"teach pendant, power button, long press, 4 seconds, forced shutdown, system power",티치펜던트 각부 명칭 및 시스템 전원 끄기 section 기준,"현재 이미지 페이지 범위에 정답 이미지 page가 없으므로 section/page 범위 재검토 / 넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / 정답 후보가 Top-5 밖이면 page prior보다 section/keyword prior를 강화"
순위 하락 검토,Q59,좌표계/오른손 법칙,"오른손 법칙에서 좌표계의 X축, Y축, Z축은 각각 어느 손가락에 대응됩니까?",page_177_img_1_0.jpeg,177,1,2,O,175-177,174-178,포함,"coordinate, right-hand rule, X axis, Y axis, Z axis, thumb, index finger, middle finger",DART-Platform 좌표계/축 방향 설명 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / TCP/Tool Settings와 Safety Zone 좌표계가 혼동되지 않도록 섹션 우선순위 분리"
순위 하락 검토,Q66,안전 설정/공간 제한 구역,공간 제한 구역에서 두 점을 사용하는 형상 설정 시 입력해야 하는 주요 위치 항목은 무엇입니까?,page_230_img_0_0.jpeg,230,4,5,O,226-238,225-239,포함,"Space Limit, zone, point 1, point 2, 3 point, height, x axis, xy plane, safety zone",6.7.3 Safety Settings의 Space Limit section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
Top-5 개선 검토,Q01,안전/전원/케이블,로봇 케이블을 임의로 개조하거나 연장할 경우 발생할 수 있는 가장 큰 위험 두 가지는 무엇입니까?,page_403_img_0_0.jpeg,403,,6,△,397-404,396-404,포함,"cable, extension, modification, fire, controller failure, power supply, DC controller, safety warning",부록 CS-12P 케이블/전원 안전 주의 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / 정답 후보가 Top-5 밖이면 page prior보다 section/keyword prior를 강화"
Top-5 개선 검토,Q06,티치 펜던트/비상정지,비상 상황 발생 시 즉각적인 조치를 위해 티치 펜던트에 위치한 비상 정지 버튼의 위치는 어디입니까?,page_103_img_0_0.jpeg,103,,6,△,89-90; 102-103,88-91; 101-104,포함,"teach pendant, emergency stop, top right, release, clockwise, warning popup, button",비상 정지 버튼 해제 및 티치펜던트 각부 명칭 section 기준,정답 후보가 Top-5 밖이면 page prior보다 section/keyword prior를 강화
Top-5 개선 검토,Q19,수동 조작/Jog,목표 위치를 향해 끝 단이 선형으로 이동하는 수동 이동(Jog) 방식은 무엇입니까?,page_373_img_0_0.jpeg,373,,8,△,373-381,372-382,포함,"Jog, manual, task motion, joint motion, linear, end-effector, target position",DART-Platform Jog module 화면 section 기준,정답 후보가 Top-5 밖이면 page prior보다 section/keyword prior를 강화
Top-5 개선 검토,Q24,프로그래밍/모션 명령,로봇의 이동 경로를 티칭할 때 직선으로 이동하도록 강제하는 모션 명령어는 무엇입니까?,page_275_img_0_0.jpeg,275,,7,△,267-276,266-277,포함,"MoveJ, MoveL, motion, linear, joint, TCP, target pose, coordinate, motion command, radius",로봇 모션 속성 및 기본 개념 section 기준,정답 후보가 Top-5 밖이면 page prior보다 section/keyword prior를 강화
Top-5 개선 검토,Q30,안전/전원/극성,전원 입력 시 극성이 잘못 결선되었을 때 컨트롤러 고장을 막기 위해 주의해야 할 항목은 무엇입니까?,page_403_img_0_0.jpeg,403,,8,△,397-404,396-404,포함,"power input, polarity, reverse polarity, controller failure, DC controller, voltage, ground, circuit breaker",부록 CS-12P 전원 입력 주의 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / 정답 후보가 Top-5 밖이면 page prior보다 section/keyword prior를 강화"
Top-5 개선 검토,Q36,안전 설정/공간 제한 구역,공간 제한 구역을 '기울어진 직육면체(3포인트 & 높이)'로 설정할 때 3D 시뮬레이션 화면에서 지정해야 하는 3개의 점은 무엇입니까?,page_237_img_0_0.jpeg,237,10,9,△,226-238,225-239,포함,"Space Limit, zone, point 1, point 2, 3 point, height, x axis, xy plane, safety zone",6.7.3 Safety Settings의 Space Limit section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / 정답 후보가 Top-5 밖이면 page prior보다 section/keyword prior를 강화"
Top-5 개선 검토,Q37,힘 제어/Custom Code,힘 제어 모드에서 외력 센서값 오차를 초기화하기 위해 Custom Code에 입력해야 하는 DRL 명령어는 무엇입니까?,page_310_img_1_0.jpeg,310,,6,△,299-311,298-312,포함,"force control, external force, set_external_force_reset, Custom Code, compliance, force reset, DRL",힘 제어 명령어 예제 및 Custom Code section 기준,정답 후보가 Top-5 밖이면 page prior보다 section/keyword prior를 강화
유지 후보,Q02,안전/전원/접지,제어기의 전원 공급을 위해 시스템에서 반드시 갖추어야 하는 최소 요구 조건(안전 장치)은 무엇입니까?,page_403_img_0_0.jpeg,403,,5,O,86-87; 120-122; 397-404,85-88; 119-123; 396-404,포함,"ground, earth, circuit breaker, power cable, controller, IEC plug, power supply, safety",컨트롤러 전원 연결 및 CS-12P 전원 공급 조건 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q03,설치/기구 고정,로봇 베이스를 바닥에 고정할 때 사용하는 볼트의 권장 규격과 체결 토크는 얼마입니까?,page_115_img_0_0.jpeg,115,1,1,O,84-86; 115-118,83-87; 114-119,포함,"robot base, M8, bolt, torque, 20Nm, washer, positioning pin, fixed position, installation",빠른 설치 및 설치 매뉴얼의 로봇 베이스 고정 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q04,안전 I/O/비상정지 배선,외부 비상 정지 스위치를 연결하기 위한 안전용 접점 입력 단자블록의 명칭과 단자는 무엇입니까?,page_145_img_0_0.jpeg,145,2,1,O,144-147,143-148,포함,"Safety I/O, TBSFT, EM, emergency stop, safety input, terminal block, external switch",컨트롤러 Safety I/O 구성하기 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리"
