검토 번호,검토 유형,우선순위,질문 번호,비교군,모델,질문,실습 단계,정답 텍스트,정답 이미지,검색 텍스트 순위,검색 이미지 순위,1차 정확성(1-5),1차 구체성(1-5),1차 실습 단계 적합성(1-5),1차 안전성(1-5),1차 이해 용이성(1-5),1차 평균 점수,1차 최종 판정,1차 평가 메모,모델 답변,연구자 최종 판정(O/△/X),검토 완료(Y/N)
R001,G4 응답 X 판정 전체 검토,상,Q05,G4,Llama,엔드 이펙터(End-effector)를 제어하기 위한 툴 플랜지 커넥터의 전원 출력 핀 번호는 몇 번입니까?,툴 플랜지/I/O 배선,핀 5번(Power) 및 핀 8번(GND),page_128_img_0_0.jpeg,1,,1,2,1,2,3,1.80,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.38; 일치키워드=; 텍스트순위=1; 이미지순위=,해당 정보는 제공된 매뉴얼에서 찾을 수 없습니다.,X,Y
R002,G4 응답 X 판정 전체 검토,상,Q07,G4,Gemma,협동로봇의 직접 교시(Direct Teaching)를 활성화하기 위해 조작기 툴 플랜지에서 눌러야 하는 버튼은 무엇입니까?,직접교시/Cockpit,Cockpit 버튼,page_195_img_0_0.jpeg,1,2,1,3,1,2,4,2.20,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.47; 일치키워드=; 텍스트순위=1; 이미지순위=2,"매뉴얼에 따르면, 조작기 툴 플랜지에서 직접 교시(Direct Teaching)를 활성화하기 위해 누르는 버튼은 명시되어 있지 않습니다.",X,Y
R003,G4 응답 X 판정 전체 검토,상,Q08,G4,Gemma,제어기의 디지털 입력(Digital Input) 단자에 NPN 타입 센서를 연결할 때 배선은 어떻게 해야 합니까?,제어기 I/O 배선,24V/12V(VCC)에 PULL-UP 연결,page_138_img_0_0.jpeg,1,4,2,2,2,3,4,2.60,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.55; 일치키워드=; 텍스트순위=1; 이미지순위=4,"NPN 센서를 디지털 입력 단자에 연결하는 경우,  풀업 저항을 연결해야 합니다.",△,Y
R004,G4 응답 X 판정 전체 검토,상,Q09,G4,Qwen,안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?,안전 I/O/보호정지 배선,TBSFT의 PR단자 (보호 정지),page_145_img_0_0.jpeg,1,2,1,5,1,2,5,2.80,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.43; 일치키워드=; 텍스트순위=1; 이미지순위=2,"안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼과 같은 보호장치를 연결할 때 사용하는 입력 핀 번호는 명시적으로 언급되어 있지 않습니다. 하지만, 상부 2 쌍의 Protective Device Contact In 접점입력 단자(상부 EM1, EM2, PR1, PR2) 중에서 라이트 커튼과 같은 보호장치를 연결할 수 있습니다. 따라서, 펜스나 라이트 커튼을 연결하기 위해 사용할 입력 핀 번호는 PR1 또는 PR2 접점입력 단자 중 하나를 사용하게 됩니다.

참고로, 각 접점입력 상태에 따라 다음과 같이 동작합니다:
- Normally Closed (NC) 상태인 경우, 접점이 열려있을 때 안전 신호가 인지됩니다.
- Normally Open (NO) 상태인 경우, 접점이 닫혀있을 때 안전 신호가 인지됩니다.

따라서, 펜스나 라이트 커튼과 같은 보호장치를 연결할 때는 해당 장치의 작동 방식에 따라 NC 또는 NO 상태의 접점을 선택하여 사용해야 합니다.",X,Y
R005,G4 응답 X 판정 전체 검토,상,Q09,G4,Gemma,안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?,안전 I/O/보호정지 배선,TBSFT의 PR단자 (보호 정지),page_145_img_0_0.jpeg,1,2,1,3,1,2,4,2.20,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.38; 일치키워드=; 텍스트순위=1; 이미지순위=2,안전 I/O (Safety I/O) 포트에 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는  매뉴얼에서 명시되어 있지 않습니다.,X,Y
R006,G4 응답 X 판정 전체 검토,상,Q09,G4,Llama,안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?,안전 I/O/보호정지 배선,TBSFT의 PR단자 (보호 정지),page_145_img_0_0.jpeg,1,2,1,5,1,2,5,2.80,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.43; 일치키워드=; 텍스트순위=1; 이미지순위=2,"비상정지 스위치, 라이트 커튼, 안전 매트와 같은 안전기기를 연결하기 위한 Safety I/O 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 Protective Device Contact In: 라이트커튼, 안전매트 등 보호정지에 필요한 장치를 연결 하기에 SI1, SI2, SI3, SI4 포트를 사용합니다.",X,Y
R007,G4 응답 X 판정 전체 검토,상,Q10,G4,Qwen,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,티치 펜던트/상태 확인,Status 모듈 내 I/O Overview,page_332_img_0_0.jpeg,8,,1,5,1,2,5,2.80,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.45; 일치키워드=; 텍스트순위=8; 이미지순위=,"DART-Platform 매뉴얼에 따르면, 티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하려면 다음과 같은 경로를 따라야 합니다.

1. 메뉴 구성 > 16 기준 좌표계 선택
2. 원하는 기준 좌표계(기본, 월드, 사용자)를 선택합니다.
3. 해당 기준 좌표계에 따른 현재 로봇 자세와 태스크 자세가 표시되는 화면을 확인합니다.

이 화면에서 현재 로봇의 조인트 자세와 태스크 자세가 수치로 표시되어 있습니다.",X,Y
R008,G4 응답 X 판정 전체 검토,상,Q10,G4,Gemma,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,티치 펜던트/상태 확인,Status 모듈 내 I/O Overview,page_332_img_0_0.jpeg,8,,1,3,1,2,4,2.20,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.44; 일치키워드=; 텍스트순위=8; 이미지순위=,PART 6.  DART-Platform 매뉴얼 항목 설명 1 로봇 자세 에서 확인 가능합니다.,X,Y
R009,G4 응답 X 판정 전체 검토,상,Q10,G4,Llama,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,티치 펜던트/상태 확인,Status 모듈 내 I/O Overview,page_332_img_0_0.jpeg,8,,1,1,1,2,2,1.40,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.42; 일치키워드=; 텍스트순위=8; 이미지순위=,조인트 자세 패널입니다.,X,Y
R010,G4 응답 X 판정 전체 검토,상,Q12,G4,Llama,전원이 꺼진 상태나 비상시 조작기 각 관절의 브레이크(Brake)를 수동으로 해제하는 방법은 무엇입니까?,비상/Backdrive,Backdrive 모듈 사용,page_178_img_0_0.jpeg,1,1,1,2,1,2,4,2.00,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.41; 일치키워드=; 텍스트순위=1; 이미지순위=1,비상 정지 버튼을 눌렀다 해제하거나 서보 Off 버튼을 누르면 활성화됩니다.,X,Y
