question_id,fold,expected_image,expected_stage,predicted_stage,stage_score,stage_margin,legacy_g3_rank,optimized_g3_rank,optimized_g4_rank
Q01,5,page_403_img_0_0.jpeg,안전/전원/케이블,설치/케이블 노이즈 대책,0.5419102907180786,0.027928471565246582,1,1,1
Q02,1,page_403_img_0_0.jpeg,안전/전원/접지,안전/전원/접지,0.5485342144966125,0.050168633460998535,7,3,1
Q03,5,page_115_img_0_0.jpeg,설치/기구 고정,설치/기구 고정,0.6297456622123718,0.07681602239608765,1,1,1
Q04,4,page_145_img_0_0.jpeg,안전 I/O/비상정지 배선,안전 I/O/비상정지 배선,0.5708417296409607,0.03510528802871704,1,1,1
Q05,4,page_128_img_0_0.jpeg,툴 플랜지/I/O 배선,툴 플랜지/I/O 배선,0.5719255805015564,0.021320998668670654,,,
Q06,4,page_103_img_0_0.jpeg,티치 펜던트/비상정지,티치 펜던트/비상정지,0.6560761332511902,0.0540044903755188,,10,4
Q07,3,page_195_img_0_0.jpeg,직접교시/Cockpit,직접교시/Cockpit,0.6446092128753662,0.162884920835495,1,2,1
Q08,3,page_138_img_0_0.jpeg,제어기 I/O 배선,제어기 I/O 배선,0.5916547775268555,0.05690127611160278,3,4,3
Q09,5,page_145_img_0_0.jpeg,안전 I/O/보호정지 배선,안전 I/O/테스트 펄스,0.6174037456512451,0.013397157192230225,2,1,1
Q10,5,page_332_img_0_0.jpeg,티치 펜던트/상태 확인,티치 펜던트/상태 확인,0.594405472278595,0.07843613624572754,,,
Q11,3,page_188_img_0_0.jpeg,설치/마운팅 설정,설치/마운팅 설정,0.6719422340393066,0.08944320678710938,1,1,1
Q12,1,page_178_img_0_0.jpeg,비상/Backdrive,비상/Backdrive,0.5421668887138367,0.05626159906387329,1,2,2
Q13,4,page_24_img_0_0.jpeg,티치 펜던트/전원 조작,티치 펜던트/전원 조작,0.6817383766174316,0.06197744607925415,5,5,9
Q14,2,page_173_img_1_0.jpeg,안전/특이점/동작 제한,안전/특이점/동작 제한,0.5224252343177795,0.07049763202667236,1,1,1
Q15,4,page_340_img_0_0.jpeg,시스템 관리/로그,UI/시스템 정보 확인,0.47387534379959106,0.0053081512451171875,,3,3
Q16,1,page_116_img_0_0.jpeg,설치/케이블 배선,설치/케이블 배선,0.6015388369560242,0.1580899953842163,2,1,1
Q17,2,page_128_img_0_0.jpeg,툴 플랜지/통신 배선,툴 플랜지/통신 배선,0.7314826250076294,0.08501207828521729,7,1,1
Q18,3,page_242_img_0_0.jpeg,안전 설정/협착 방지 구역,안전 설정/협착 방지 구역,0.5925193428993225,0.09687402844429016,1,1,1
Q19,3,page_373_img_0_0.jpeg,수동 조작/Jog,수동 조작/Jog,0.5755528211593628,0.13122087717056274,,7,4
Q20,4,page_201_img_1_0.jpeg,TCP/툴 좌표 설정,TCP/툴 좌표 설정,0.6568214893341064,0.18141940236091614,1,3,2
Q21,4,page_241_img_0_0.jpeg,안전 설정/Zone 형상,안전 설정/Zone 형상,0.567645788192749,0.027149617671966553,4,3,3
Q22,5,page_262_img_0_0.jpeg,프로그래밍/Task Editor,프로그래밍/모션 명령,0.5086805820465088,0.05865892767906189,,,
Q23,3,page_167_img_3_0.jpeg,UI/시스템 정보 확인,UI/시스템 정보 확인,0.5290356874465942,0.038084328174591064,,,7
Q24,1,page_275_img_0_0.jpeg,프로그래밍/모션 명령,프로그래밍/모션 명령,0.5321402549743652,0.056263357400894165,6,6,2
