질문 번호,구분,질문,정답 실습 단계,예측 실습 단계,G4 적용 단계,분류 점수,분류 margin,G4 적용,정답 텍스트,G3 텍스트 정답 순위,G4 텍스트 정답 순위,G4 텍스트 평가,G4 텍스트 평가 근거,정답 이미지,G3 이미지 정답 순위,G4 이미지 정답 순위,G4 이미지 평가,G4 검색 이미지 Top-10
Q01,기존,로봇 케이블을 임의로 개조하거나 연장할 경우 발생할 수 있는 가장 큰 위험 두 가지는 무엇입니까?,안전/전원/케이블,설치/케이블 노이즈 대책,,0.5419,0.0279,X,화재가 발생하거나 컨트롤러가 고장 날 수 있음,2,2,O,"keyword:발생,컨트롤러,고장",page_403_img_0_0.jpeg,1,1,O,"1. page_403_img_0_0.jpeg | score=0.732 | stage=0.000
2. page_48_img_0_0.jpeg | score=0.696 | stage=0.000
3. page_116_img_0_0.jpeg | score=0.628 | stage=0.000
4. page_104_img_0_0.jpeg | score=0.593 | stage=0.000
5. page_98_img_0_0.jpeg | score=0.591 | stage=0.000
6. page_98_img_1_0.jpeg | score=0.590 | stage=0.000
7. page_174_img_1_0.jpeg | score=0.515 | stage=0.000
8. page_105_img_0_0.jpeg | score=0.514 | stage=0.000
9. page_402_img_0_0.jpeg | score=0.500 | stage=0.000
10. page_402_img_1_0.jpeg | score=0.500 | stage=0.000"
Q02,기존,제어기의 전원 공급을 위해 시스템에서 반드시 갖추어야 하는 최소 요구 조건(안전 장치)은 무엇입니까?,안전/전원/접지,안전/전원/접지,안전/전원/접지,0.5485,0.0502,O,접지와 누전차단기,1,1,O,"keyword:접지와,접지,누전차단기; semantic_rank:8",page_403_img_0_0.jpeg,3,1,O,"1. page_403_img_0_0.jpeg | score=1.391 | stage=0.633 | page=1.00; section=cs-12p
2. page_86_img_0_0.jpeg | score=1.359 | stage=0.500 | page=1.00
3. page_121_img_0_0.jpeg | score=1.346 | stage=0.500 | page=1.00
4. page_120_img_0_0.jpeg | score=1.091 | stage=0.500 | page=1.00
5. page_124_img_0_0.jpeg | score=0.958 | stage=0.500 | page=1.00
6. page_402_img_0_0.jpeg | score=0.940 | stage=0.633 | page=1.00; section=cs-12p
7. page_125_img_0_0.jpeg | score=0.939 | stage=0.225 | page=0.45
8. page_402_img_1_0.jpeg | score=0.937 | stage=0.633 | page=1.00; section=cs-12p
9. page_88_img_1_0.jpeg | score=0.930 | stage=0.500 | page=1.00
10. page_85_img_0_0.jpeg | score=0.901 | stage=0.500 | page=1.00"
Q03,기존,로봇 베이스를 바닥에 고정할 때 사용하는 볼트의 권장 규격과 체결 토크는 얼마입니까?,설치/기구 고정,설치/기구 고정,설치/기구 고정,0.6297,0.0768,O,M8 육각 렌치 볼트 / 20Nm 토크 권장,1,1,O,"keyword:m8,볼트,20nm,토크; semantic_rank:4",page_115_img_0_0.jpeg,1,1,O,"1. page_115_img_0_0.jpeg | score=1.383 | stage=0.525 | page=1.00; keyword=m8,20nm
2. page_84_img_0_0.jpeg | score=1.317 | stage=0.500 | page=1.00
3. page_116_img_0_0.jpeg | score=1.284 | stage=0.500 | page=1.00
4. page_85_img_0_0.jpeg | score=1.236 | stage=0.525 | page=1.00; keyword=robot base,base
5. page_114_img_0_0.jpeg | score=1.183 | stage=0.500 | page=1.00
6. page_86_img_0_0.jpeg | score=1.164 | stage=0.500 | page=1.00
7. page_121_img_0_0.jpeg | score=1.042 | stage=0.350 | page=0.70
8. page_83_img_0_0.jpeg | score=0.908 | stage=0.500 | page=1.00
9. page_113_img_0_0.jpeg | score=0.905 | stage=0.350 | page=0.70
10. page_93_img_0_0.jpeg | score=0.858 | stage=0.000"
Q04,기존,외부 비상 정지 스위치를 연결하기 위한 안전용 접점 입력 단자블록의 명칭과 단자는 무엇입니까?,안전 I/O/비상정지 배선,안전 I/O/비상정지 배선,안전 I/O/비상정지 배선,0.5708,0.0351,O,TBSFT 단자블록의 EM 단자,1,1,O,"keyword:tbsft,단자블록,em,단자; semantic_rank:2",page_145_img_0_0.jpeg,1,2,O,"1. page_143_img_1_0.jpeg | score=1.502 | stage=0.838 | page=1.00; keyword=safety i,o,tbsft; section=safety i,o,tbsft
2. page_145_img_0_0.jpeg | score=1.495 | stage=0.738 | page=1.00; keyword=safety i,o,em; section=safety i,o
3. page_143_img_0_0.jpeg | score=1.493 | stage=0.838 | page=1.00; keyword=safety i,o,tbsft; section=safety i,o,tbsft
4. page_147_img_0_0.jpeg | score=1.360 | stage=0.738 | page=1.00; keyword=o,em,emergency stop; section=o,emergency stop
5. page_144_img_0_0.jpeg | score=1.319 | stage=0.725 | page=1.00; keyword=safety i,o; section=safety i,o
6. page_144_img_1_0.jpeg | score=1.312 | stage=0.725 | page=1.00; keyword=safety i,o; section=safety i,o
7. page_148_img_0_0.jpeg | score=1.171 | stage=0.612 | page=1.00; keyword=o; section=o
8. page_142_img_1_0.jpeg | score=1.161 | stage=0.612 | page=1.00; keyword=o; section=o
9. page_142_img_0_0.jpeg | score=1.153 | stage=0.612 | page=1.00; keyword=o; section=o
10. page_133_img_0_0.jpeg | score=0.891 | stage=0.113 | keyword=o; section=o"
Q05,기존,엔드 이펙터(End-effector)를 제어하기 위한 툴 플랜지 커넥터의 전원 출력 핀 번호는 몇 번입니까?,툴 플랜지/I/O 배선,툴 플랜지/I/O 배선,,0.5719,0.0213,X,핀 5번(Power) 및 핀 8번(GND),1,1,O,semantic_rank:8,page_128_img_0_0.jpeg,,,X,"1. page_94_img_0_0.jpeg | score=0.865 | stage=0.000
2. page_127_img_0_0.jpeg | score=0.851 | stage=0.000
3. page_336_img_0_0.jpeg | score=0.808 | stage=0.000
4. page_95_img_0_0.jpeg | score=0.775 | stage=0.000
5. page_130_img_0_0.jpeg | score=0.753 | stage=0.000
6. page_132_img_0_0.png | score=0.736 | stage=0.000
7. page_101_img_0_0.jpeg | score=0.711 | stage=0.000
8. page_93_img_0_0.jpeg | score=0.706 | stage=0.000
9. page_137_img_0_0.jpeg | score=0.670 | stage=0.000
10. page_136_img_0_0.png | score=0.653 | stage=0.000"
Q06,기존,비상 상황 발생 시 즉각적인 조치를 위해 티치 펜던트에 위치한 비상 정지 버튼의 위치는 어디입니까?,티치 펜던트/비상정지,티치 펜던트/비상정지,티치 펜던트/비상정지,0.6561,0.0540,O,티치 펜던트 상단 우측,1,1,O,"keyword:티치,펜던트",page_103_img_0_0.jpeg,10,4,O,"1. page_89_img_1_0.jpeg | score=1.329 | stage=0.500 | page=1.00
2. page_89_img_0_0.jpeg | score=1.304 | stage=0.500 | page=1.00
3. page_88_img_1_0.jpeg | score=1.165 | stage=0.500 | page=1.00
4. page_103_img_0_0.jpeg | score=1.149 | stage=0.500 | page=1.00
5. page_104_img_0_0.jpeg | score=1.096 | stage=0.500 | page=1.00
6. page_88_img_0_0.jpeg | score=1.017 | stage=0.500 | page=1.00
7. page_24_img_0_0.jpeg | score=0.881 | stage=0.000
8. page_220_img_0_0.jpeg | score=0.807 | stage=0.000
9. page_102_img_0_0.jpeg | score=0.777 | stage=0.500 | page=1.00
10. page_163_img_0_0.jpeg | score=0.737 | stage=0.000"
Q07,기존,협동로봇의 직접 교시(Direct Teaching)를 활성화하기 위해 조작기 툴 플랜지에서 눌러야 하는 버튼은 무엇입니까?,직접교시/Cockpit,직접교시/Cockpit,직접교시/Cockpit,0.6446,0.1629,O,Cockpit 버튼,1,1,O,"page; keyword:cockpit,버튼; semantic_rank:7",page_195_img_0_0.jpeg,2,1,O,"1. page_195_img_0_0.jpeg | score=1.304 | stage=0.500 | page=1.00
2. page_195_img_2_0.jpeg | score=1.274 | stage=0.500 | page=1.00
3. page_196_img_0_0.jpeg | score=1.181 | stage=0.500 | page=1.00
4. page_325_img_0_0.jpeg | score=0.944 | stage=0.213 | keyword=cockpit; section=cockpit
5. page_101_img_0_0.jpeg | score=0.892 | stage=0.225 | keyword=cockpit,tool flange; section=cockpit
6. page_324_img_0_0.jpeg | score=0.778 | stage=0.000
7. page_123_img_0_0.jpeg | score=0.732 | stage=0.000
8. page_88_img_1_0.jpeg | score=0.678 | stage=0.000
9. page_103_img_0_0.jpeg | score=0.633 | stage=0.000
10. page_281_img_1_0.jpeg | score=0.581 | stage=0.000"
Q08,기존,제어기의 디지털 입력(Digital Input) 단자에 NPN 타입 센서를 연결할 때 배선은 어떻게 해야 합니까?,제어기 I/O 배선,제어기 I/O 배선,제어기 I/O 배선,0.5917,0.0569,O,24V/12V(VCC)에 PULL-UP 연결,2,1,O,"keyword:24v,vcc,연결; semantic_rank:10",page_138_img_0_0.jpeg,4,3,O,"1. page_140_img_0_0.jpeg | score=1.413 | stage=0.646 | page=1.00; keyword=o; section=o
2. page_138_img_1_0.jpeg | score=1.395 | stage=0.671 | page=1.00; keyword=o,npn,pnp; section=o
3. page_138_img_0_0.jpeg | score=1.392 | stage=0.671 | page=1.00; keyword=o,npn,pnp; section=o
4. page_141_img_1_0.jpeg | score=1.347 | stage=0.683 | page=1.00; keyword=o,vio,gio,tbco; section=o
5. page_142_img_1_0.jpeg | score=1.308 | stage=0.671 | page=1.00; keyword=o,gio,tbco; section=o
6. page_142_img_0_0.jpeg | score=1.300 | stage=0.671 | page=1.00; keyword=o,gio,tbco; section=o
7. page_137_img_0_0.jpeg | score=1.262 | stage=0.525 | page=1.00; keyword=npn,pnp
8. page_132_img_0_0.png | score=1.241 | stage=0.646 | page=1.00; keyword=o; section=o
9. page_130_img_0_0.jpeg | score=1.198 | stage=0.508 | page=0.70; keyword=o,pnp; section=o
10. page_139_img_0_0.jpeg | score=1.196 | stage=0.671 | page=1.00; keyword=o,npn,pnp; section=o"
Q09,기존,안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?,안전 I/O/보호정지 배선,안전 I/O/테스트 펄스,,0.6174,0.0134,X,TBSFT의 PR단자 (보호 정지),1,1,O,"keyword:tbsft,보호,정지",page_145_img_0_0.jpeg,1,1,O,"1. page_145_img_0_0.jpeg | score=0.881 | stage=0.000
2. page_147_img_0_0.jpeg | score=0.843 | stage=0.000
3. page_133_img_0_0.jpeg | score=0.838 | stage=0.000
4. page_143_img_1_0.jpeg | score=0.816 | stage=0.000
5. page_143_img_0_0.jpeg | score=0.814 | stage=0.000
6. page_144_img_0_0.jpeg | score=0.754 | stage=0.000
7. page_144_img_1_0.jpeg | score=0.751 | stage=0.000
8. page_255_img_0_0.jpeg | score=0.748 | stage=0.000
9. page_334_img_0_0.jpeg | score=0.733 | stage=0.000
10. page_148_img_0_0.jpeg | score=0.727 | stage=0.000"
Q10,기존,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,티치 펜던트/상태 확인,티치 펜던트/상태 확인,티치 펜던트/상태 확인,0.5944,0.0784,O,Status 모듈 내 I/O Overview,7,7,△,keyword:모듈,page_332_img_0_0.jpeg,,,X,"1. page_188_img_0_0.jpeg | score=0.928 | stage=0.146 | keyword=i; section=i
2. page_195_img_0_0.jpeg | score=0.923 | stage=0.146 | keyword=i; section=i
3. page_388_img_2_0.jpeg | score=0.878 | stage=0.146 | keyword=i; section=i
4. page_104_img_0_0.jpeg | score=0.870 | stage=0.146 | keyword=i; section=i
5. page_189_img_0_0.jpeg | score=0.861 | stage=0.146 | keyword=i; section=i
6. page_195_img_2_0.jpeg | score=0.834 | stage=0.146 | keyword=i; section=i
7. page_196_img_0_0.jpeg | score=0.828 | stage=0.146 | keyword=i; section=i
8. page_389_img_0_0.jpeg | score=0.792 | stage=0.146 | keyword=i; section=i
9. page_165_img_0_0.jpeg | score=0.791 | stage=0.146 | keyword=i; section=i
10. page_105_img_0_0.jpeg | score=0.777 | stage=0.146 | keyword=i; section=i"
