질문 번호,질문,정답 이미지,BBox 기반 매핑 정답 순위,BBox 기반 매핑 Top-10,BBox 필터 + SigLIP 정답 순위,BBox 필터 + SigLIP Top-10
Q01,로봇 케이블을 임의로 개조하거나 연장할 경우 발생할 수 있는 가장 큰 위험 두 가지는 무엇입니까?,page_403_img_0_0.jpeg,,"page_116_img_0_0.jpeg
page_104_img_0_0.jpeg
page_84_img_0_0.jpeg
page_103_img_0_0.jpeg
page_118_img_0_0.jpeg
page_98_img_2_0.jpeg
page_83_img_0_0.jpeg
page_174_img_1_0.jpeg
page_115_img_0_0.jpeg
page_86_img_0_0.jpeg",,"page_104_img_0_0.jpeg
page_116_img_0_0.jpeg
page_84_img_0_0.jpeg
page_105_img_0_0.jpeg
page_98_img_0_0.jpeg
page_98_img_1_0.jpeg
page_103_img_0_0.jpeg
page_115_img_0_0.jpeg
page_118_img_0_0.jpeg
page_98_img_2_0.jpeg"
Q02,제어기의 전원 공급을 위해 시스템에서 반드시 갖추어야 하는 최소 요구 조건(안전 장치)은 무엇입니까?,page_403_img_0_0.jpeg,7,"page_86_img_0_0.jpeg
page_147_img_0_0.jpeg
page_125_img_0_0.jpeg
page_88_img_1_0.jpeg
page_121_img_0_0.jpeg
page_133_img_0_0.jpeg
page_403_img_0_0.jpeg
page_48_img_0_0.jpeg
page_145_img_0_0.jpeg
page_88_img_0_0.jpeg",2,"page_86_img_0_0.jpeg
page_403_img_0_0.jpeg
page_147_img_0_0.jpeg
page_125_img_0_0.jpeg
page_88_img_1_0.jpeg
page_132_img_0_0.png
page_121_img_0_0.jpeg
page_133_img_0_0.jpeg
page_88_img_0_0.jpeg
page_130_img_0_0.jpeg"
Q03,로봇 베이스를 바닥에 고정할 때 사용하는 볼트의 권장 규격과 체결 토크는 얼마입니까?,page_115_img_0_0.jpeg,1,"page_115_img_0_0.jpeg
page_93_img_0_0.jpeg
page_116_img_0_0.jpeg
page_123_img_0_0.jpeg
page_84_img_0_0.jpeg
page_88_img_1_0.jpeg
page_118_img_0_0.jpeg
page_192_img_0_0.jpeg
page_124_img_0_0.jpeg
page_86_img_0_0.jpeg",2,"page_93_img_0_0.jpeg
page_115_img_0_0.jpeg
page_116_img_0_0.jpeg
page_123_img_0_0.jpeg
page_84_img_0_0.jpeg
page_88_img_0_0.jpeg
page_88_img_1_0.jpeg
page_118_img_0_0.jpeg
page_114_img_0_0.jpeg
page_192_img_0_0.jpeg"
Q04,외부 비상 정지 스위치를 연결하기 위한 안전용 접점 입력 단자블록의 명칭과 단자는 무엇입니까?,page_145_img_0_0.jpeg,1,"page_145_img_0_0.jpeg
page_147_img_0_0.jpeg
page_133_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_24_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_241_img_0_0.jpeg
page_143_img_0_0.jpeg",1,"page_145_img_0_0.jpeg
page_147_img_0_0.jpeg
page_133_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_24_img_0_0.jpeg
page_148_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_242_img_0_0.jpeg"
Q05,엔드 이펙터(End-effector)를 제어하기 위한 툴 플랜지 커넥터의 전원 출력 핀 번호는 몇 번입니까?,page_128_img_0_0.jpeg,,"page_94_img_0_0.jpeg
page_127_img_0_0.jpeg
page_130_img_0_0.jpeg
page_93_img_0_0.jpeg
page_137_img_0_0.jpeg
page_98_img_0_0.jpeg
page_98_img_1_0.jpeg
page_132_img_0_0.png
page_133_img_0_0.jpeg
page_104_img_0_0.jpeg",,"page_94_img_0_0.jpeg
page_127_img_0_0.jpeg
page_132_img_0_0.png
page_95_img_0_0.jpeg
page_130_img_0_0.jpeg
page_137_img_0_0.jpeg
page_104_img_0_0.jpeg
page_93_img_0_0.jpeg
page_103_img_0_0.jpeg
page_98_img_0_0.jpeg"
Q06,비상 상황 발생 시 즉각적인 조치를 위해 티치 펜던트에 위치한 비상 정지 버튼의 위치는 어디입니까?,page_103_img_0_0.jpeg,,"page_24_img_0_0.jpeg
page_89_img_1_0.jpeg
page_89_img_0_0.jpeg
page_163_img_1_0.jpeg
page_163_img_0_0.jpeg
page_224_img_0_0.jpeg
page_94_img_0_0.jpeg
page_96_img_0_0.jpeg
page_88_img_1_0.jpeg
page_220_img_0_0.jpeg",,"page_24_img_0_0.jpeg
page_89_img_1_0.jpeg
page_89_img_0_0.jpeg
page_224_img_0_0.jpeg
page_163_img_0_0.jpeg
page_94_img_0_0.jpeg
page_163_img_1_0.jpeg
page_95_img_0_0.jpeg
page_96_img_0_0.jpeg
page_88_img_1_0.jpeg"
Q07,협동로봇의 직접 교시(Direct Teaching)를 활성화하기 위해 조작기 툴 플랜지에서 눌러야 하는 버튼은 무엇입니까?,page_195_img_0_0.jpeg,,"page_323_img_0_0.jpeg
page_323_img_1_0.jpeg
page_324_img_0_0.jpeg
page_123_img_0_0.jpeg
page_88_img_1_0.jpeg
page_325_img_0_0.jpeg
page_89_img_1_0.jpeg
page_195_img_2_0.jpeg
page_125_img_0_0.jpeg
page_124_img_0_0.jpeg",7,"page_323_img_0_0.jpeg
page_325_img_0_0.jpeg
page_323_img_1_0.jpeg
page_324_img_0_0.jpeg
page_195_img_2_0.jpeg
page_123_img_0_0.jpeg
page_195_img_0_0.jpeg
page_88_img_1_0.jpeg
page_89_img_1_0.jpeg
page_196_img_0_0.jpeg"
Q08,제어기의 디지털 입력(Digital Input) 단자에 NPN 타입 센서를 연결할 때 배선은 어떻게 해야 합니까?,page_138_img_0_0.jpeg,,"page_139_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_121_img_0_0.jpeg
page_137_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_130_img_0_0.jpeg
page_141_img_1_0.jpeg
page_145_img_0_0.jpeg",1,"page_138_img_0_0.jpeg
page_138_img_1_0.jpeg
page_139_img_0_0.jpeg
page_142_img_1_0.jpeg
page_142_img_0_0.jpeg
page_140_img_0_0.jpeg
page_121_img_0_0.jpeg
page_137_img_0_0.jpeg
page_132_img_0_0.png
page_144_img_0_0.jpeg"
Q09,안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?,page_145_img_0_0.jpeg,2,"page_147_img_0_0.jpeg
page_145_img_0_0.jpeg
page_133_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_241_img_0_0.jpeg
page_256_img_0_0.jpeg
page_139_img_0_0.jpeg",2,"page_147_img_0_0.jpeg
page_145_img_0_0.jpeg
page_133_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_148_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_242_img_0_0.jpeg
page_241_img_0_0.jpeg"
Q10,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,page_332_img_0_0.jpeg,,"page_192_img_0_0.jpeg
page_384_img_0_0.jpeg
page_104_img_0_0.jpeg
page_96_img_0_0.jpeg
page_376_img_0_0.jpeg
page_196_img_0_0.jpeg
page_195_img_2_0.jpeg
page_189_img_0_0.jpeg
page_386_img_2_0.jpeg
page_381_img_0_0.jpeg",,"page_196_img_0_0.jpeg
page_192_img_0_0.jpeg
page_387_img_0_0.jpeg
page_104_img_0_0.jpeg
page_384_img_0_0.jpeg
page_195_img_2_0.jpeg
page_195_img_0_0.jpeg
page_376_img_0_0.jpeg
page_105_img_0_0.jpeg
page_96_img_0_0.jpeg"
Q11,로봇을 천장(Ceiling)에 거꾸로 설치할 때 소프트웨어 설정 메뉴에서 입력해야 하는 마운팅 각도는 어떻게 설정합니까?,page_188_img_0_0.jpeg,,"page_192_img_0_0.jpeg
page_181_img_0_0.jpeg
page_88_img_1_0.jpeg
page_378_img_2_0.jpeg
page_123_img_0_0.jpeg
page_191_img_0_0.jpeg
page_196_img_0_0.jpeg
page_189_img_0_0.jpeg
page_113_img_0_0.jpeg
page_195_img_2_0.jpeg",,"page_192_img_0_0.jpeg
page_88_img_1_0.jpeg
page_181_img_0_0.jpeg
page_378_img_2_0.jpeg
page_379_img_2_0.jpeg
page_196_img_0_0.jpeg
page_123_img_0_0.jpeg
page_195_img_2_0.jpeg
page_88_img_0_0.jpeg
page_92_img_1_0.jpeg"
Q12,전원이 꺼진 상태나 비상시 조작기 각 관절의 브레이크(Brake)를 수동으로 해제하는 방법은 무엇입니까?,page_178_img_0_0.jpeg,2,"page_179_img_1_0.jpeg
page_178_img_0_0.jpeg
page_125_img_0_0.jpeg
page_89_img_1_0.jpeg
page_89_img_0_0.jpeg
page_181_img_0_0.jpeg
page_24_img_0_0.jpeg
page_88_img_1_0.jpeg
page_177_img_1_0.jpeg
page_96_img_0_0.jpeg",2,"page_179_img_1_0.jpeg
page_178_img_0_0.jpeg
page_125_img_0_0.jpeg
page_89_img_1_0.jpeg
page_89_img_0_0.jpeg
page_181_img_0_0.jpeg
page_24_img_0_0.jpeg
page_225_img_0_0.jpeg
page_195_img_2_0.jpeg
page_88_img_1_0.jpeg"
Q13,티치 펜던트의 전원을 강제로 종료하는 물리적 버튼 조작법은 무엇입니까?,page_24_img_0_0.jpeg,4,"page_163_img_1_0.jpeg
page_163_img_0_0.jpeg
page_94_img_0_0.jpeg
page_24_img_0_0.jpeg
page_96_img_0_0.jpeg
page_95_img_0_0.jpeg
page_89_img_1_0.jpeg
page_88_img_1_0.jpeg
page_89_img_0_0.jpeg
page_103_img_0_0.jpeg",5,"page_163_img_0_0.jpeg
page_94_img_0_0.jpeg
page_163_img_1_0.jpeg
page_95_img_0_0.jpeg
page_24_img_0_0.jpeg
page_96_img_0_0.jpeg
page_89_img_1_0.jpeg
page_89_img_0_0.jpeg
page_88_img_1_0.jpeg
page_103_img_0_0.jpeg"
Q14,로봇이 특이점(Singularity) 영역에 도달했을 때 제어를 보호하기 위해 발생하는 현상은 무엇입니까?,page_173_img_1_0.jpeg,1,"page_173_img_1_0.jpeg
page_174_img_1_0.jpeg
page_48_img_0_0.jpeg
page_277_img_0_0.jpeg
page_242_img_0_0.jpeg
page_175_img_1_0.jpeg
page_175_img_4_0.jpeg
page_175_img_3_0.jpeg
page_175_img_2_0.jpeg
page_280_img_0_0.jpeg",1,"page_173_img_1_0.jpeg
page_174_img_1_0.jpeg
page_175_img_2_0.jpeg
page_48_img_0_0.jpeg
page_277_img_0_0.jpeg
page_278_img_1_0.jpeg
page_49_img_0_0.jpeg
page_242_img_0_0.jpeg
page_175_img_1_0.jpeg
page_175_img_4_0.jpeg"
Q15,시스템의 과거 에러 로그를 추출하는 메뉴 경로는 어디입니까?,page_340_img_0_0.jpeg,7,"page_366_img_0_0.jpeg
page_368_img_0_0.jpeg
page_342_img_2_0.jpeg
page_363_img_0_0.jpeg
page_370_img_0_0.jpeg
page_182_img_0_0.jpeg
page_340_img_0_0.jpeg
page_169_img_2_0.jpeg
page_342_img_0_0.jpeg
page_342_img_1_0.jpeg",,"page_366_img_0_0.jpeg
page_368_img_0_0.jpeg
page_367_img_0_0.jpeg
page_369_img_0_0.jpeg
page_182_img_0_0.jpeg
page_363_img_0_0.jpeg
page_342_img_2_0.jpeg
page_370_img_0_0.jpeg
page_258_img_0_0.jpeg
page_361_img_0_0.jpeg"
